book_id,source_file_path,raw_title,chap_regex,book_len,n_chaps
1497,data/THE_REPUBLIC-pg1497.txt,THE REPUBLIC,^\s*BOOK\s+[IVXLCM]+\.\s*$,118489,10
1571,data/CRITIAS-pg1571.txt,CRITIAS,PERSONS OF THE DIALOGUE:,6789,1
1572,data/TIMAEUS-pg1572.txt,TIMAEUS,^Section\s+\d+.$,69903,8
1579,data/LYSIS-pg1579.txt,LYSIS,PERSONS OF THE DIALOGUE:,9188,1
1580,data/CHARMIDES-pg1580.txt,CHARMIDES,PERSONS OF THE DIALOGUE:,10750,1
1584,data/LACHES-pg1584.txt,LACHES,PERSONS OF THE DIALOGUE:,10286,1
1591,data/PROTAGORAS-pg1591.txt,PROTAGORAS,PERSONS OF THE DIALOGUE:,22995,1
1598,data/EUTHYDEMUS-pg1598.txt,EUTHYDEMUS,PERSONS OF THE DIALOGUE:,15882,1
1600,data/SYMPOSIUM-pg1600.txt,SYMPOSIUM,PERSONS OF THE DIALOGUE:,22248,1
1616,data/CRATYLUS-pg1616.txt,CRATYLUS,PERSONS OF THE DIALOGUE:,23932,1
1635,data/ION-pg1635.txt,ION,PERSONS OF THE DIALOGUE:,5177,1
1636,data/PHAEDRUS-pg1636.txt,PHAEDRUS,PERSONS OF THE DIALOGUE:,23209,1
1642,data/EUTHYPHRO-pg1642.txt,EUTHYPHRO,PERSONS OF THE DIALOGUE:,6793,1
1643,data/MENO-pg1643.txt,MENO,PERSONS OF THE DIALOGUE:,12847,1
1656,data/APOLOGY-pg1656.txt,APOLOGY,APOLOGY,11404,1
1657,data/CRITO-pg1657.txt,CRITO,PERSONS OF THE DIALOGUE:,5386,1
1658,data/PHAEDO-pg1658.txt,PHAEDO,PERSONS OF THE DIALOGUE:,27512,1
1672,data/GORGIAS-pg1672.txt,GORGIAS,PERSONS OF THE DIALOGUE:,35829,1
1673,data/LESSER_HIPPIAS-pg1673.txt,LESSER HIPPIAS,PERSONS OF THE DIALOGUE:,6048,1
1676,data/ALCIBIADES_I-pg1676.txt,ALCIBIADES I,PERSONS OF THE DIALOGUE:,14810,1
1677,data/ALCIBIADES_II-pg1677.txt,ALCIBIADES II,PERSONS OF THE DIALOGUE:,5529,1
1681,data/ERYXIAS-pg1681.txt,ERYXIAS,PERSONS OF THE DIALOGUE:,6417,1
1682,data/MENEXENUS-pg1682.txt,MENEXENUS,PERSONS OF THE DIALOGUE:,6581,1
1687,data/PARMENIDES-pg1687.txt,PARMENIDES,PERSONS OF THE DIALOGUE:,18974,1
1726,data/THEAETETUS-pg1726.txt,THEAETETUS,PERSONS OF THE DIALOGUE:,31453,1
1735,data/SOPHIST-pg1735.txt,SOPHIST,PERSONS OF THE DIALOGUE:,22229,1
1738,data/STATESMAN-pg1738.txt,STATESMAN,PERSONS OF THE DIALOGUE:,23615,1
1744,data/PHILEBUS-pg1744.txt,PHILEBUS,PERSONS OF THE DIALOGUE:,23398,1
1750,data/LAWS-pg1750.txt,LAWS,^\s*BOOK\s+[IVXLCM]+\.\s*$,141128,12
